0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:39:17 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:40:13 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 6167
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:40:14 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:40:14 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:40:14 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:56 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9647
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:56 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:56 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:58 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:58 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:58 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:58 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:42:58 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/img/phones.png HTTP/1.1" 404 1048
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:45:51 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:50:24 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 7562
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:50:24 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:50:24 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:50:25 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:36 +0530] "GET /ShoppingCart/home.jsp HTTP/1.1" 200 7601
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:38 +0530] "GET /ShoppingCart/css/bootstrap.min.css HTTP/1.1" 404 1062
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:38 +0530] "GET /ShoppingCart/css/thumbnail-gallery.css HTTP/1.1" 404 1070
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:38 +0530] "GET /ShoppingCart/js/bootstrap.min.js HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/New%20or%20Old.jsp HTTP/1.1" 200 9645
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1094
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/css/landing-page.css HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/img/ipad.png HTTP/1.1" 404 1044
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/img/dog.png HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [11/Jun/2016:10:56:43 +0530] "GET /ShoppingCart/js/jquery.js HTTP/1.1" 404 1044
